pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate
Kepler-22,b,Transit,1,289.8623,0.0016,-0.002,0,0.849,0.018,-0.017,0,0,,,0,89.764,0.025,-0.042,0,0.113,,,1,Mass,0.212,0.012,-0.012,0,14.7,,,1,0,1,0,1,19h16m52.20s,289.217484,+47d53m04.1s,47.884464,190,,,0,11.664,,0,0,Kepler-band,5518,44,-44,0,0,0.97,0.06,-0.06,0,0,0.98,0.02,-0.02,0,0,2014-05-14
Kepler-223,b,Transit,4,7.38449,0.00022,-0.00022,0,,,,,0.078,0.015,-0.017,0,90,,-1.8,0,0.02328,0.00409,-0.00346,0,Mass,0.267,0.016,-0.024,0,1.54,0.63,-0.35,0,1,1,0,1,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,,,,,15.344,,0,0,Kepler-band,,,,,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0,2016-08-04
Kepler-223,c,Transit,4,9.84564,0.00052,-0.00051,0,,,,,0.15,0.019,-0.051,0,90,,-1.3,0,0.01605,0.00535,-0.00346,0,Mass,0.307,0.018,-0.027,0,0.71,0.33,-0.2,0,1,1,0,1,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,,,,,15.344,,0,0,Kepler-band,,,,,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0,2016-08-04
Kepler-223,d,Transit,4,14.78869,0.0003,-0.00027,0,,,,,0.037,0.018,-0.017,0,87.94,0.32,-0.26,0,0.02517,0.00472,-0.00409,0,Mass,0.467,0.023,-0.04,0,0.31,0.12,-0.07,0,1,1,0,1,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,,,,,15.344,,0,0,Kepler-band,,,,,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0,2016-08-04
Kepler-25,b,Transit,3,6.2385,,,0,,,,,,,,,,,,,0.0302,0.01321,-0.01321,0,Mass,0.242,0.004,-0.004,0,2.5,1.1,-1.1,0,1,1,0,1,19h06m33.21s,286.638393,+39d29m16.4s,39.487894,,,,,10.734,,0,0,Kepler-band,6270,79,-79,0,0,1.19,0.06,-0.06,0,0,1.31,0.02,-0.02,0,0,2016-10-27
Kepler-26,b,Transit,4,12.28,0.0003,-0.0003,0,,,,,,,,,,,,,0.01611,0.00205,-0.00192,0,Mass,0.248,0.01,-0.01,0,1.26,0.21,-0.19,0,1,1,0,2,18h59m45.84s,284.940997,+46d33m59.5s,46.56654,,,,,15.473,,0,0,Kepler-band,3914,119,-119,0,0,0.54,0.03,-0.03,0,0,0.51,0.02,-0.02,0,0,2016-04-07
Kepler-26,c,Transit,4,17.2559,0.0006,-0.0006,0,,,,,,,,,,,,,0.01951,0.00205,-0.00205,0,Mass,0.243,0.011,-0.011,0,1.61,0.27,-0.22,0,1,1,0,2,18h59m45.84s,284.940997,+46d33m59.5s,46.56654,,,,,15.473,,0,0,Kepler-band,3914,119,-119,0,0,0.54,0.03,-0.03,0,0,0.51,0.02,-0.02,0,0,2016-04-07
Kepler-289,b,Transit,3,34.545,0.0005,-0.0005,0,0.21,0.01,-0.01,0,,,,,89.59,0.3,-0.48,0,0.023,0.021,-0.021,0,Mass,0.192,0.009,-0.009,0,4.1,3.9,-3.9,0,1,1,0,1,19h49m51.68s,297.465344,+42d52m58.3s,42.88285,700,14,-14,0,13.956,,0,0,Kepler-band,5990,38,-38,0,0,1.08,0.02,-0.02,0,0,1,0.02,-0.02,0,0,2014-11-19
Kepler-307,b,Transit,2,10.4208,0.0009,-0.0008,0,,,,,,,,,,,,,0.02341,0.00286,-0.00274,0,Mass,0.217,0.008,-0.008,0,2.62,0.38,-0.34,0,1,1,0,2,19h51m10.83s,297.795132,+40d25m03.7s,40.417703,,,,,14.072,,0,0,Kepler-band,5367,94,-94,0,0,0.91,0.03,-0.03,0,0,0.81,0.02,-0.02,0,0,2016-04-07
Kepler-307,c,Transit,2,13.0729,0.0012,-0.0012,0,,,,,,,,,,,,,0.01145,0.00205,-0.00182,0,Mass,0.196,0.006,-0.006,0,1.74,0.3,-0.3,0,1,1,0,2,19h51m10.83s,297.795132,+40d25m03.7s,40.417703,,,,,14.072,,0,0,Kepler-band,5367,94,-94,0,0,0.91,0.03,-0.03,0,0,0.81,0.02,-0.02,0,0,2016-04-07
Kepler-36,c,Transit,2,16.23855,0.00038,-0.00054,0,0.1283,0.0016,-0.0016,0,0.033,,,1,89.98,0.54,-0.53,0,0.025,0.002,-0.001,0,Mass,0.328,0.005,-0.005,0,0.89,0.07,-0.05,0,1,1,0,1,19h25m00.05s,291.250191,+49d13m54.6s,49.231827,470,,,0,11.866,,0,0,Kepler-band,5911,66,-66,0,0,1.07,0.04,-0.04,0,0,1.63,0.02,-0.02,0,0,2014-05-14
Kepler-406,b,Transit,2,2.42629,,,0,,,,,,,,,,,,,0.02,0.004,-0.004,0,Mass,0.128,0.003,-0.003,0,11.82,2.7,-2.7,0,0,1,0,1,19h27m23.53s,291.848044,+44d58m05.6s,44.968224,,,,,12.52,,0,0,Kepler-band,5538,75,-75,0,0,1.07,0.06,-0.06,0,0,1.07,0.02,-0.02,0,0,2014-05-14
Kepler-43,b,Transit,1,3.0240949,0.0000006,-0.0000006,0,0.046,0.0026,-0.0025,0,,,,,84.646,0.107,-0.091,0,3.23,0.26,-0.26,0,Mass,1.219,0.065,-0.064,0,5,7,-5,0,0,1,0,1,19h00m57.81s,285.240856,+46d40m05.7s,46.668255,1950,250,-250,0,13.958,,0,0,Kepler-band,6041,143,-143,0,0,1.32,0.09,-0.09,0,0,1.42,0.07,-0.07,0,0,2015-10-15
Kepler-432,b,Transit,2,52.501129,0.000067,-0.000053,0,0.301,0.016,-0.011,0,0.5134,0.0098,-0.0089,0,88.17,0.61,-0.33,0,5.41,0.32,-0.18,0,Mass,1.145,0.036,-0.039,0,4.46,0.37,-0.29,0,0,1,0,1,19h33m07.73s,293.282206,+48d17m09.2s,48.2859,870,20,-20,0,12.465,0.06,0,0,V (Johnson),4995,78,-78,0,0,1.32,0.1,-0.07,0,0,4.06,0.12,-0.08,0,0,2015-04-30
Kepler-454,b,Transit,2,10.57375339,0.00000777,-0.00000777,0,0.0954,0.0012,-0.0012,0,0,,,0,87.09,0.203,-0.203,0,0.02152,0.0044,-0.0044,0,Mass,0.211,0.012,-0.012,0,2.76,0.73,-0.73,0,0,1,0,1,19h09m54.85s,287.478529,+38d13m43.9s,38.228866,,,,,11.57,,0,0,V (Johnson),5701,34,-34,0,0,1.03,0.04,-0.03,0,0,1.07,0.01,-0.01,0,0,2015-12-03
Kepler-48,b,Transit,4,4.778,,,0,,,,,,,,,,,,,0.0124,0.00661,-0.00661,0,Mass,0.168,0.009,-0.009,0,3.23,1.84,-1.84,0,1,1,0,1,19h56m33.41s,299.139212,+40d56m56.5s,40.94902,,,,,13.04,,0,0,Kepler-band,5194,73,-73,0,0,0.88,0.06,-0.06,0,0,0.89,0.05,-0.05,0,0,2016-10-27
Kepler-48,c,Transit,4,9.67395,,,0,,,,,,,,,,,,,0.04597,0.00724,-0.00724,0,Mass,0.242,0.012,-0.012,0,4.01,0.91,-0.91,0,1,1,0,1,19h56m33.41s,299.139212,+40d56m56.5s,40.94902,,,,,13.04,,0,0,Kepler-band,5194,73,-73,0,0,0.88,0.06,-0.06,0,0,0.89,0.05,-0.05,0,0,2016-10-27
Kepler-48,d,Transit,4,42.8961,,,0,,,,,,,,,,,,,0.025,0.0145,-0.0145,0,Mass,0.182,0.01,-0.01,0,5.08,3.12,-3.12,0,0,1,0,1,19h56m33.41s,299.139212,+40d56m56.5s,40.94902,,,,,13.04,,0,0,Kepler-band,5194,73,-73,0,0,0.88,0.06,-0.06,0,0,0.89,0.05,-0.05,0,0,2014-05-14
Kepler-51,d,Transit,3,130.194,0.005,-0.002,,0.509,0.02,-0.02,0,0.008,0.011,-0.008,0,,,,,0.024,0.003,-0.003,0,Mass,0.865,0.045,-0.045,0,0.046,0.009,-0.009,0,1,1,0,1,19h45m55.15s,296.479776,+49d56m15.7s,49.937683,,,,,14.669,,0,0,Kepler-band,6018,107,-107,0,0,1.04,0.12,-0.12,0,0,0.94,0.5,-0.5,0,0,2014-05-14
Kepler-60,b,Transit,3,7.1334,0.0001,-0.0001,0,,,,,,,,,,,,,0.01318,0.00176,-0.00164,0,Mass,0.153,0.012,-0.012,0,4.62,1.4,-1.1,0,1,1,0,1,19h15m50.70s,288.961242,+42d15m54.0s,42.265011,,,,,13.959,,0,0,Kepler-band,5905,144,-144,0,0,1.04,0.08,-0.08,0,0,1.26,0.09,-0.09,0,0,2016-04-07
Kepler-60,c,Transit,3,8.9187,0.0002,-0.0002,0,,,,,,,,,,,,,0.01211,0.00255,-0.00255,0,Mass,0.17,0.013,-0.013,0,3.06,1.14,-0.86,0,1,1,0,1,19h15m50.70s,288.961242,+42d15m54.0s,42.265011,,,,,13.959,,0,0,Kepler-band,5905,144,-144,0,0,1.04,0.08,-0.08,0,0,1.26,0.09,-0.09,0,0,2016-04-07
Kepler-60,d,Transit,3,11.8981,0.0002,-0.0002,0,,,,,,,,,,,,,0.01309,0.00264,-0.00236,0,Mass,0.178,0.014,-0.014,0,2.91,1.03,-0.78,0,1,1,0,1,19h15m50.70s,288.961242,+42d15m54.0s,42.265011,,,,,13.959,,0,0,Kepler-band,5905,144,-144,0,0,1.04,0.08,-0.08,0,0,1.26,0.09,-0.09,0,0,2016-04-07
